patient_text,symptoms,training_text,disease,risk_hint,category
"I have back pain, nausea, vomiting and burning urination for 2 days.",back pain|nausea|vomiting|burning urination,"I have back pain, nausea, vomiting and burning urination for 2 days. Symptoms: back pain, nausea, vomiting, burning urination",Kidney Stone / Renal Colic,HIGH,Genitourinary
"I have vomiting, abdominal pain, nausea and bloating for 5 days.",vomiting|abdominal pain|nausea|bloating,"I have vomiting, abdominal pain, nausea and bloating for 5 days. Symptoms: vomiting, abdominal pain, nausea, bloating",Gastroenteritis,MEDIUM,GI
"Since 2 days, I have had nausea, bloating, heartburn, abdominal pain, appetite loss and dizziness.",nausea|bloating|heartburn|abdominal pain|appetite loss|dizziness,"Since 2 days, I have had nausea, bloating, heartburn, abdominal pain, appetite loss and dizziness. Symptoms: nausea, bloating, heartburn, abdominal pain, appetite loss, dizziness",Gastritis / Acid Peptic Disorder,MEDIUM,GI
"I have frequent urination, burning urination, fever, back pain and chills for 1 day.",frequent urination|burning urination|fever|back pain|chills,"I have frequent urination, burning urination, fever, back pain and chills for 1 day. Symptoms: frequent urination, burning urination, fever, back pain, chills",Urinary Tract Infection,MEDIUM,Genitourinary
"Patient reports nausea, burning urination, back pain and headache since 1 week.",nausea|burning urination|back pain|headache,"Patient reports nausea, burning urination, back pain and headache since 1 week. Symptoms: nausea, burning urination, back pain, headache",Kidney Stone / Renal Colic,HIGH,Genitourinary
"Over the last 1 day, I am experiencing nausea, dizziness and excessive thirst.",nausea|dizziness|excessive thirst,"Over the last 1 day, I am experiencing nausea, dizziness and excessive thirst. Symptoms: nausea, dizziness, excessive thirst",Migraine,LOW,Neurology
"Patient reports fever, cough, fatigue, chest pain, shortness of breath and stiffness since 4 days.",fever|cough|fatigue|chest pain|shortness of breath|stiffness,"Patient reports fever, cough, fatigue, chest pain, shortness of breath and stiffness since 4 days. Symptoms: fever, cough, fatigue, chest pain, shortness of breath, stiffness",Pneumonia,HIGH,Respiratory
"My symptoms are hard to describe, mostly pain around my spleen region for 1 day.",left upper abdominal pain,"My symptoms are hard to describe, mostly pain around my spleen region for 1 day. Symptoms: left upper abdominal pain",Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"I have right lower abdominal pain, vomiting and appetite loss and the discomfort has been there for 1 week.",right lower abdominal pain|vomiting|appetite loss,"I have right lower abdominal pain, vomiting and appetite loss and the discomfort has been there for 1 week. Symptoms: right lower abdominal pain, vomiting, appetite loss",Appendicitis Concern,HIGH,GI
"These symptoms started 1 day ago: sore throat, congestion, headache and heartburn.",sore throat|congestion|headache|heartburn,"These symptoms started 1 day ago: sore throat, congestion, headache and heartburn. Symptoms: sore throat, congestion, headache, heartburn",Sinusitis,LOW,Respiratory
"Patient reports runny nose, cough and headache since 1 week.",runny nose|cough|headache,"Patient reports runny nose, cough and headache since 1 week. Symptoms: runny nose, cough, headache",Common Cold,LOW,Respiratory
"For 2 days, my back has been aching after physical strain.",fatigue|body ache|back pain|stiffness|dizziness,"For 2 days, my back has been aching after physical strain. Symptoms: fatigue, body ache, back pain, stiffness, dizziness",Musculoskeletal Back Strain,LOW,Musculoskeletal
"Patient reports chest pain, cough and congestion since 3 days.",chest pain|cough|congestion,"Patient reports chest pain, cough and congestion since 3 days. Symptoms: chest pain, cough, congestion",Pneumonia,HIGH,Respiratory
"Since 1 day, I have had appetite loss and abdominal pain.",appetite loss|abdominal pain,"Since 1 day, I have had appetite loss and abdominal pain. Symptoms: appetite loss, abdominal pain",Gastritis / Acid Peptic Disorder,MEDIUM,GI
"Over the last 1 day, I am experiencing nausea and headache.",nausea|headache,"Over the last 1 day, I am experiencing nausea and headache. Symptoms: nausea, headache",Dengue-like Viral Fever,MEDIUM,Fever
"Over the last 5 days, I am experiencing congestion, sneezing, runny nose and itchy eyes.",congestion|sneezing|runny nose|itchy eyes,"Over the last 5 days, I am experiencing congestion, sneezing, runny nose and itchy eyes. Symptoms: congestion, sneezing, runny nose, itchy eyes",Allergic Rhinitis,LOW,Allergy
"Over the last 2 days, I am experiencing sore throat, facial pain, congestion and dizziness.",sore throat|facial pain|congestion|dizziness,"Over the last 2 days, I am experiencing sore throat, facial pain, congestion and dizziness. Symptoms: sore throat, facial pain, congestion, dizziness",Sinusitis,LOW,Respiratory
"Over the last 3 days, I am experiencing fatigue, chest pain, cough, wheezing, fever and chills.",fatigue|chest pain|cough|wheezing|fever|chills,"Over the last 3 days, I am experiencing fatigue, chest pain, cough, wheezing, fever and chills. Symptoms: fatigue, chest pain, cough, wheezing, fever, chills",Bronchitis,MEDIUM,Respiratory
I strained my back and now have lower back pain with stiffness for 1 day.,back pain|fatigue|body ache|stiffness,"I strained my back and now have lower back pain with stiffness for 1 day. Symptoms: back pain, fatigue, body ache, stiffness",Musculoskeletal Back Strain,LOW,Musculoskeletal
"The pain has been right lower abdominal pain, vomiting, nausea, abdominal pain, fever and blurred vision for 4 days.",right lower abdominal pain|vomiting|nausea|abdominal pain|fever|blurred vision,"The pain has been right lower abdominal pain, vomiting, nausea, abdominal pain, fever and blurred vision for 4 days. Symptoms: right lower abdominal pain, vomiting, nausea, abdominal pain, fever, blurred vision",Appendicitis Concern,HIGH,GI
"For the last 5 days, my glucose has been high and I also have blurred vision, frequent urination and fatigue.",high blood sugar|blurred vision|frequent urination|fatigue,"For the last 5 days, my glucose has been high and I also have blurred vision, frequent urination and fatigue. Symptoms: high blood sugar, blurred vision, frequent urination, fatigue",Hyperglycemia / Diabetes Concern,MEDIUM,Metabolic
"Patient reports ear pain, fever and sore throat since 3 days.",ear pain|fever|sore throat,"Patient reports ear pain, fever and sore throat since 3 days. Symptoms: ear pain, fever, sore throat",Ear Infection,MEDIUM,ENT
There is blood in my urine with sharp side pain for 4 days.,vomiting|back pain|nausea|blood in urine,"There is blood in my urine with sharp side pain for 4 days. Symptoms: vomiting, back pain, nausea, blood in urine",Kidney Stone / Renal Colic,HIGH,Genitourinary
"Since 5 days, I have had abdominal pain, vomiting, dehydration and diarrhea.",abdominal pain|vomiting|dehydration|diarrhea,"Since 5 days, I have had abdominal pain, vomiting, dehydration and diarrhea. Symptoms: abdominal pain, vomiting, dehydration, diarrhea",Gastroenteritis,MEDIUM,GI
My lower back hurts after lifting something heavy for 2 days.,body ache|back pain|stiffness|blurred vision,"My lower back hurts after lifting something heavy for 2 days. Symptoms: body ache, back pain, stiffness, blurred vision",Musculoskeletal Back Strain,LOW,Musculoskeletal
"Since 5 days, I have had nausea, rash, fever and stiffness.",nausea|rash|fever|stiffness,"Since 5 days, I have had nausea, rash, fever and stiffness. Symptoms: nausea, rash, fever, stiffness",Dengue-like Viral Fever,MEDIUM,Fever
"I have dizziness, sensitivity to light, headache and congestion for 5 days.",dizziness|sensitivity to light|headache|congestion,"I have dizziness, sensitivity to light, headache and congestion for 5 days. Symptoms: dizziness, sensitivity to light, headache, congestion",Migraine,LOW,Neurology
"My main problems are fatigue, loss of smell and cough and it started 3 days ago.",fatigue|loss of smell|cough,"My main problems are fatigue, loss of smell and cough and it started 3 days ago. Symptoms: fatigue, loss of smell, cough",COVID-19,HIGH,Respiratory
"Since 1 day, I have had sore throat, runny nose, headache, facial pain, congestion and dizziness.",sore throat|runny nose|headache|facial pain|congestion|dizziness,"Since 1 day, I have had sore throat, runny nose, headache, facial pain, congestion and dizziness. Symptoms: sore throat, runny nose, headache, facial pain, congestion, dizziness",Sinusitis,LOW,Respiratory
"My main problems are wheezing, chest pain, fatigue, cough and shortness of breath and it started 4 days ago.",wheezing|chest pain|fatigue|cough|shortness of breath,"My main problems are wheezing, chest pain, fatigue, cough and shortness of breath and it started 4 days ago. Symptoms: wheezing, chest pain, fatigue, cough, shortness of breath",Asthma Exacerbation,HIGH,Respiratory
These symptoms started 2 days ago: headache and dizziness.,headache|dizziness,"These symptoms started 2 days ago: headache and dizziness. Symptoms: headache, dizziness",Migraine,LOW,Neurology
"For the last 3 days, I have been dealing with vomiting, abdominal pain and dizziness.",vomiting|abdominal pain|dizziness,"For the last 3 days, I have been dealing with vomiting, abdominal pain and dizziness. Symptoms: vomiting, abdominal pain, dizziness",Gastroenteritis,MEDIUM,GI
"Over the last 1 week, I am experiencing sore throat, cough, runny nose and sneezing.",sore throat|cough|runny nose|sneezing,"Over the last 1 week, I am experiencing sore throat, cough, runny nose and sneezing. Symptoms: sore throat, cough, runny nose, sneezing",Common Cold,LOW,Respiratory
"Patient reports cough, loss of smell and fatigue since 5 days.",cough|loss of smell|fatigue,"Patient reports cough, loss of smell and fatigue since 5 days. Symptoms: cough, loss of smell, fatigue",COVID-19,HIGH,Respiratory
"My main problems are rash, body ache, fever, nausea and fatigue and it started 3 days ago.",rash|body ache|fever|nausea|fatigue,"My main problems are rash, body ache, fever, nausea and fatigue and it started 3 days ago. Symptoms: rash, body ache, fever, nausea, fatigue",Dengue-like Viral Fever,MEDIUM,Fever
"I have cough, fatigue and heartburn for 4 days.",cough|fatigue|heartburn,"I have cough, fatigue and heartburn for 4 days. Symptoms: cough, fatigue, heartburn",Asthma Exacerbation,HIGH,Respiratory
"I have been noticing frequent urination, blurred vision and fatigue over the past 4 days.",frequent urination|blurred vision|fatigue,"I have been noticing frequent urination, blurred vision and fatigue over the past 4 days. Symptoms: frequent urination, blurred vision, fatigue",Hyperglycemia / Diabetes Concern,MEDIUM,Metabolic
"These symptoms started 5 days ago: headache, sore throat, fever, fatigue and swollen glands.",headache|sore throat|fever|fatigue|swollen glands,"These symptoms started 5 days ago: headache, sore throat, fever, fatigue and swollen glands. Symptoms: headache, sore throat, fever, fatigue, swollen glands",Mononucleosis-like Illness,MEDIUM,Infectious
I feel unusual pain around the left upper side of my abdomen for 1 week.,left upper abdominal pain,I feel unusual pain around the left upper side of my abdomen for 1 week. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"I have been noticing cough, sore throat, sneezing and chills over the past 1 day.",cough|sore throat|sneezing|chills,"I have been noticing cough, sore throat, sneezing and chills over the past 1 day. Symptoms: cough, sore throat, sneezing, chills",Common Cold,LOW,Respiratory
I have high blood sugar along with fatigue and excessive thirst for 1 day.,fatigue|high blood sugar|excessive thirst,"I have high blood sugar along with fatigue and excessive thirst for 1 day. Symptoms: fatigue, high blood sugar, excessive thirst",Hyperglycemia / Diabetes Concern,MEDIUM,Metabolic
"Since 1 day, I have had fatigue, chest pain, fever and shortness of breath.",fatigue|chest pain|fever|shortness of breath,"Since 1 day, I have had fatigue, chest pain, fever and shortness of breath. Symptoms: fatigue, chest pain, fever, shortness of breath",Pneumonia,HIGH,Respiratory
I have been noticing bloating and heartburn over the past 1 day.,bloating|heartburn,"I have been noticing bloating and heartburn over the past 1 day. Symptoms: bloating, heartburn",Gastritis / Acid Peptic Disorder,MEDIUM,GI
I have sensitivity to light and headache for 1 day.,sensitivity to light|headache,"I have sensitivity to light and headache for 1 day. Symptoms: sensitivity to light, headache",Migraine,LOW,Neurology
"I have fever, swollen glands, headache, sore throat, fatigue and dizziness for 1 week.",fever|swollen glands|headache|sore throat|fatigue|dizziness,"I have fever, swollen glands, headache, sore throat, fatigue and dizziness for 1 week. Symptoms: fever, swollen glands, headache, sore throat, fatigue, dizziness",Mononucleosis-like Illness,MEDIUM,Infectious
"Over the last 1 week, I am experiencing shortness of breath, fatigue and chest pain.",shortness of breath|fatigue|chest pain,"Over the last 1 week, I am experiencing shortness of breath, fatigue and chest pain. Symptoms: shortness of breath, fatigue, chest pain",Asthma Exacerbation,HIGH,Respiratory
Patient reports sneezing and sore throat since 3 days.,sneezing|sore throat,"Patient reports sneezing and sore throat since 3 days. Symptoms: sneezing, sore throat",Common Cold,LOW,Respiratory
"For the last 1 week, I have been dealing with ear pain, headache, fever and sore throat.",ear pain|headache|fever|sore throat,"For the last 1 week, I have been dealing with ear pain, headache, fever and sore throat. Symptoms: ear pain, headache, fever, sore throat",Ear Infection,MEDIUM,ENT
"I have fever, body ache and fatigue for 5 days.",fever|body ache|fatigue,"I have fever, body ache and fatigue for 5 days. Symptoms: fever, body ache, fatigue",Influenza,MEDIUM,Respiratory
"Since 3 days, I have had sneezing, congestion and fatigue.",sneezing|congestion|fatigue,"Since 3 days, I have had sneezing, congestion and fatigue. Symptoms: sneezing, congestion, fatigue",Allergic Rhinitis,LOW,Allergy
"I have cough, wheezing, fatigue, fever, chest pain and excessive thirst for 5 days.",cough|wheezing|fatigue|fever|chest pain|excessive thirst,"I have cough, wheezing, fatigue, fever, chest pain and excessive thirst for 5 days. Symptoms: cough, wheezing, fatigue, fever, chest pain, excessive thirst",Bronchitis,MEDIUM,Respiratory
"For the last 4 days, I have been dealing with sore throat and congestion.",sore throat|congestion,"For the last 4 days, I have been dealing with sore throat and congestion. Symptoms: sore throat, congestion",Sinusitis,LOW,Respiratory
There is pain near my spleen area for 2 days.,left upper abdominal pain,There is pain near my spleen area for 2 days. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
I am feeling pain in back of the spleen from past 4 days.,left upper abdominal pain,I am feeling pain in back of the spleen from past 4 days. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"I have been noticing back pain, fatigue and bloating over the past 1 week.",back pain|fatigue|bloating,"I have been noticing back pain, fatigue and bloating over the past 1 week. Symptoms: back pain, fatigue, bloating",Musculoskeletal Back Strain,LOW,Musculoskeletal
"I have fever, chest pain, cough and shortness of breath for 4 days.",fever|chest pain|cough|shortness of breath,"I have fever, chest pain, cough and shortness of breath for 4 days. Symptoms: fever, chest pain, cough, shortness of breath",Pneumonia,HIGH,Respiratory
"I have been noticing congestion, headache, sore throat, runny nose and facial pain over the past 1 week.",congestion|headache|sore throat|runny nose|facial pain,"I have been noticing congestion, headache, sore throat, runny nose and facial pain over the past 1 week. Symptoms: congestion, headache, sore throat, runny nose, facial pain",Sinusitis,LOW,Respiratory
"For the last 1 day, I have been dealing with fever, headache, sore throat and ear pain.",fever|headache|sore throat|ear pain,"For the last 1 day, I have been dealing with fever, headache, sore throat and ear pain. Symptoms: fever, headache, sore throat, ear pain",Ear Infection,MEDIUM,ENT
These symptoms started 1 week ago: back pain and fatigue.,back pain|fatigue,"These symptoms started 1 week ago: back pain and fatigue. Symptoms: back pain, fatigue",Musculoskeletal Back Strain,LOW,Musculoskeletal
"I have nausea, headache, body ache and rash for 3 days.",nausea|headache|body ache|rash,"I have nausea, headache, body ache and rash for 3 days. Symptoms: nausea, headache, body ache, rash",Dengue-like Viral Fever,MEDIUM,Fever
"My main problems are cough, chest pain, shortness of breath and wheezing and it started 2 days ago.",cough|chest pain|shortness of breath|wheezing,"My main problems are cough, chest pain, shortness of breath and wheezing and it started 2 days ago. Symptoms: cough, chest pain, shortness of breath, wheezing",Asthma Exacerbation,HIGH,Respiratory
"Since 5 days, I have had dizziness, headache and nausea.",dizziness|headache|nausea,"Since 5 days, I have had dizziness, headache and nausea. Symptoms: dizziness, headache, nausea",Migraine,LOW,Neurology
"For the last 4 days, I have been dealing with vomiting, appetite loss, nausea, abdominal pain and chills.",vomiting|appetite loss|nausea|abdominal pain|chills,"For the last 4 days, I have been dealing with vomiting, appetite loss, nausea, abdominal pain and chills. Symptoms: vomiting, appetite loss, nausea, abdominal pain, chills",Appendicitis Concern,HIGH,GI
"Since 3 days, I have had dizziness, nausea, headache and sensitivity to light.",dizziness|nausea|headache|sensitivity to light,"Since 3 days, I have had dizziness, nausea, headache and sensitivity to light. Symptoms: dizziness, nausea, headache, sensitivity to light",Migraine,LOW,Neurology
"Over the last 5 days, I am experiencing loss of taste, fever, loss of smell and fatigue.",loss of taste|fever|loss of smell|fatigue,"Over the last 5 days, I am experiencing loss of taste, fever, loss of smell and fatigue. Symptoms: loss of taste, fever, loss of smell, fatigue",COVID-19,HIGH,Respiratory
"I have nausea, right lower abdominal pain, vomiting, fever, abdominal pain and appetite loss and the discomfort has been there for 5 days.",nausea|right lower abdominal pain|vomiting|fever|abdominal pain|appetite loss,"I have nausea, right lower abdominal pain, vomiting, fever, abdominal pain and appetite loss and the discomfort has been there for 5 days. Symptoms: nausea, right lower abdominal pain, vomiting, fever, abdominal pain, appetite loss",Appendicitis Concern,HIGH,GI
"For the last 1 week, I have been dealing with wheezing, fatigue, shortness of breath and heartburn.",wheezing|fatigue|shortness of breath|heartburn,"For the last 1 week, I have been dealing with wheezing, fatigue, shortness of breath and heartburn. Symptoms: wheezing, fatigue, shortness of breath, heartburn",Asthma Exacerbation,HIGH,Respiratory
"These symptoms started 4 days ago: body ache, fever, headache, chills, cough and blurred vision.",body ache|fever|headache|chills|cough|blurred vision,"These symptoms started 4 days ago: body ache, fever, headache, chills, cough and blurred vision. Symptoms: body ache, fever, headache, chills, cough, blurred vision",Influenza,MEDIUM,Respiratory
"I have been noticing back pain, body ache and fatigue over the past 5 days.",back pain|body ache|fatigue,"I have been noticing back pain, body ache and fatigue over the past 5 days. Symptoms: back pain, body ache, fatigue",Musculoskeletal Back Strain,LOW,Musculoskeletal
I have been noticing fever and body ache over the past 4 days.,fever|body ache,"I have been noticing fever and body ache over the past 4 days. Symptoms: fever, body ache",Dengue-like Viral Fever,MEDIUM,Fever
"I have fever, fatigue, cough, loss of taste, shortness of breath, loss of smell and stiffness for 5 days.",fever|fatigue|cough|loss of taste|shortness of breath|loss of smell|stiffness,"I have fever, fatigue, cough, loss of taste, shortness of breath, loss of smell and stiffness for 5 days. Symptoms: fever, fatigue, cough, loss of taste, shortness of breath, loss of smell, stiffness",COVID-19,HIGH,Respiratory
"These symptoms started 1 day ago: back pain, burning urination and fever.",back pain|burning urination|fever,"These symptoms started 1 day ago: back pain, burning urination and fever. Symptoms: back pain, burning urination, fever",Urinary Tract Infection,MEDIUM,Genitourinary
"My main problems are sneezing, congestion, itchy eyes and runny nose and it started 1 week ago.",sneezing|congestion|itchy eyes|runny nose,"My main problems are sneezing, congestion, itchy eyes and runny nose and it started 1 week ago. Symptoms: sneezing, congestion, itchy eyes, runny nose",Allergic Rhinitis,LOW,Allergy
"Since 5 days, I have had stiffness, fatigue and body ache.",stiffness|fatigue|body ache,"Since 5 days, I have had stiffness, fatigue and body ache. Symptoms: stiffness, fatigue, body ache",Musculoskeletal Back Strain,LOW,Musculoskeletal
I am feeling pain in back of the spleen from past 4 days.,left upper abdominal pain,I am feeling pain in back of the spleen from past 4 days. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
I am feeling pain in back of the spleen from past 1 week.,left upper abdominal pain,I am feeling pain in back of the spleen from past 1 week. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"For 3 days, my back has been aching after physical strain.",fatigue|back pain|stiffness|body ache,"For 3 days, my back has been aching after physical strain. Symptoms: fatigue, back pain, stiffness, body ache",Musculoskeletal Back Strain,LOW,Musculoskeletal
Patient reports nausea and body ache since 3 days.,nausea|body ache,"Patient reports nausea and body ache since 3 days. Symptoms: nausea, body ache",Dengue-like Viral Fever,MEDIUM,Fever
I feel unusual pain around the left upper side of my abdomen for 5 days.,left upper abdominal pain,I feel unusual pain around the left upper side of my abdomen for 5 days. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
My main problems are fatigue and shortness of breath and it started 1 week ago.,fatigue|shortness of breath,"My main problems are fatigue and shortness of breath and it started 1 week ago. Symptoms: fatigue, shortness of breath",Asthma Exacerbation,HIGH,Respiratory
"Since 2 days, I have had sore throat, swollen glands and headache.",sore throat|swollen glands|headache,"Since 2 days, I have had sore throat, swollen glands and headache. Symptoms: sore throat, swollen glands, headache",Mononucleosis-like Illness,MEDIUM,Infectious
"These symptoms started 2 days ago: chest pain, shortness of breath, fatigue and wheezing.",chest pain|shortness of breath|fatigue|wheezing,"These symptoms started 2 days ago: chest pain, shortness of breath, fatigue and wheezing. Symptoms: chest pain, shortness of breath, fatigue, wheezing",Asthma Exacerbation,HIGH,Respiratory
"These symptoms started 3 days ago: abdominal pain, heartburn and appetite loss.",abdominal pain|heartburn|appetite loss,"These symptoms started 3 days ago: abdominal pain, heartburn and appetite loss. Symptoms: abdominal pain, heartburn, appetite loss",Gastritis / Acid Peptic Disorder,MEDIUM,GI
"My main problems are body ache, fever, fatigue, chills and congestion and it started 2 days ago.",body ache|fever|fatigue|chills|congestion,"My main problems are body ache, fever, fatigue, chills and congestion and it started 2 days ago. Symptoms: body ache, fever, fatigue, chills, congestion",Influenza,MEDIUM,Respiratory
I have left upper abdominal discomfort under my ribs for 2 days.,left upper abdominal pain,I have left upper abdominal discomfort under my ribs for 2 days. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"I have been noticing frequent urination, burning urination, back pain and fever over the past 1 day.",frequent urination|burning urination|back pain|fever,"I have been noticing frequent urination, burning urination, back pain and fever over the past 1 day. Symptoms: frequent urination, burning urination, back pain, fever",Urinary Tract Infection,MEDIUM,Genitourinary
"My main problems are cough, chest pain and excessive thirst and it started 3 days ago.",cough|chest pain|excessive thirst,"My main problems are cough, chest pain and excessive thirst and it started 3 days ago. Symptoms: cough, chest pain, excessive thirst",Asthma Exacerbation,HIGH,Respiratory
"For the last 5 days, I have been dealing with vomiting, nausea, abdominal pain, diarrhea and dehydration.",vomiting|nausea|abdominal pain|diarrhea|dehydration,"For the last 5 days, I have been dealing with vomiting, nausea, abdominal pain, diarrhea and dehydration. Symptoms: vomiting, nausea, abdominal pain, diarrhea, dehydration",Gastroenteritis,MEDIUM,GI
These symptoms started 3 days ago: headache and ear pain.,headache|ear pain,"These symptoms started 3 days ago: headache and ear pain. Symptoms: headache, ear pain",Ear Infection,MEDIUM,ENT
"I have been noticing ear pain, fever and excessive thirst over the past 3 days.",ear pain|fever|excessive thirst,"I have been noticing ear pain, fever and excessive thirst over the past 3 days. Symptoms: ear pain, fever, excessive thirst",Ear Infection,MEDIUM,ENT
"Over the last 2 days, I am experiencing fever, headache, swollen glands and bloating.",fever|headache|swollen glands|bloating,"Over the last 2 days, I am experiencing fever, headache, swollen glands and bloating. Symptoms: fever, headache, swollen glands, bloating",Mononucleosis-like Illness,MEDIUM,Infectious
"The pain has been vomiting, right lower abdominal pain and abdominal pain for 1 day.",vomiting|right lower abdominal pain|abdominal pain,"The pain has been vomiting, right lower abdominal pain and abdominal pain for 1 day. Symptoms: vomiting, right lower abdominal pain, abdominal pain",Appendicitis Concern,HIGH,GI
My blood sugar level has been high with fatigue and blurred vision for 1 week.,high blood sugar|fatigue|blurred vision,"My blood sugar level has been high with fatigue and blurred vision for 1 week. Symptoms: high blood sugar, fatigue, blurred vision",Hyperglycemia / Diabetes Concern,MEDIUM,Metabolic
"Since 1 day, I have had cough, wheezing and fever.",cough|wheezing|fever,"Since 1 day, I have had cough, wheezing and fever. Symptoms: cough, wheezing, fever",Bronchitis,MEDIUM,Respiratory
"I have cough, fatigue and dizziness for 1 week.",cough|fatigue|dizziness,"I have cough, fatigue and dizziness for 1 week. Symptoms: cough, fatigue, dizziness",Pneumonia,HIGH,Respiratory
"I have high blood sugar along with blurred vision, fatigue, excessive thirst and frequent urination for 5 days.",blurred vision|fatigue|high blood sugar|excessive thirst|frequent urination,"I have high blood sugar along with blurred vision, fatigue, excessive thirst and frequent urination for 5 days. Symptoms: blurred vision, fatigue, high blood sugar, excessive thirst, frequent urination",Hyperglycemia / Diabetes Concern,MEDIUM,Metabolic
"I have been noticing runny nose, sneezing, itchy eyes and congestion over the past 1 week.",runny nose|sneezing|itchy eyes|congestion,"I have been noticing runny nose, sneezing, itchy eyes and congestion over the past 1 week. Symptoms: runny nose, sneezing, itchy eyes, congestion",Allergic Rhinitis,LOW,Allergy
Patient reports fatigue and chest pain since 1 day.,fatigue|chest pain,"Patient reports fatigue and chest pain since 1 day. Symptoms: fatigue, chest pain",Asthma Exacerbation,HIGH,Respiratory
"Patient reports nausea, bloating and congestion since 5 days.",nausea|bloating|congestion,"Patient reports nausea, bloating and congestion since 5 days. Symptoms: nausea, bloating, congestion",Gastritis / Acid Peptic Disorder,MEDIUM,GI
"Patient reports congestion, runny nose and sneezing since 5 days.",congestion|runny nose|sneezing,"Patient reports congestion, runny nose and sneezing since 5 days. Symptoms: congestion, runny nose, sneezing",Allergic Rhinitis,LOW,Allergy
"I have been noticing body ache, headache, fever, rash and stiffness over the past 5 days.",body ache|headache|fever|rash|stiffness,"I have been noticing body ache, headache, fever, rash and stiffness over the past 5 days. Symptoms: body ache, headache, fever, rash, stiffness",Dengue-like Viral Fever,MEDIUM,Fever
"I have been noticing fatigue, wheezing, fever, chest pain and cough over the past 3 days.",fatigue|wheezing|fever|chest pain|cough,"I have been noticing fatigue, wheezing, fever, chest pain and cough over the past 3 days. Symptoms: fatigue, wheezing, fever, chest pain, cough",Bronchitis,MEDIUM,Respiratory
"Patient reports fatigue, chest pain, fever, shortness of breath, cough and heartburn since 1 day.",fatigue|chest pain|fever|shortness of breath|cough|heartburn,"Patient reports fatigue, chest pain, fever, shortness of breath, cough and heartburn since 1 day. Symptoms: fatigue, chest pain, fever, shortness of breath, cough, heartburn",Pneumonia,HIGH,Respiratory
"For 5 days, my back has been aching after physical strain.",stiffness|back pain,"For 5 days, my back has been aching after physical strain. Symptoms: stiffness, back pain",Musculoskeletal Back Strain,LOW,Musculoskeletal
I am feeling pain in back of the spleen from past 1 day.,left upper abdominal pain,I am feeling pain in back of the spleen from past 1 day. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"For the last 1 week, I have been dealing with congestion, sneezing, runny nose and fatigue.",congestion|sneezing|runny nose|fatigue,"For the last 1 week, I have been dealing with congestion, sneezing, runny nose and fatigue. Symptoms: congestion, sneezing, runny nose, fatigue",Allergic Rhinitis,LOW,Allergy
"Since 5 days, I have had wheezing, shortness of breath, cough, chest pain, fatigue and headache.",wheezing|shortness of breath|cough|chest pain|fatigue|headache,"Since 5 days, I have had wheezing, shortness of breath, cough, chest pain, fatigue and headache. Symptoms: wheezing, shortness of breath, cough, chest pain, fatigue, headache",Asthma Exacerbation,HIGH,Respiratory
"Since 2 days, I have had runny nose and cough.",runny nose|cough,"Since 2 days, I have had runny nose and cough. Symptoms: runny nose, cough",Common Cold,LOW,Respiratory
"For the last 2 days, I have been dealing with rash, nausea and headache.",rash|nausea|headache,"For the last 2 days, I have been dealing with rash, nausea and headache. Symptoms: rash, nausea, headache",Dengue-like Viral Fever,MEDIUM,Fever
I feel unusual pain around the left upper side of my abdomen for 3 days.,left upper abdominal pain,I feel unusual pain around the left upper side of my abdomen for 3 days. Symptoms: left upper abdominal pain,Unclear Pattern / Needs Clinical Evaluation,MEDIUM,Uncertain
"I have high blood sugar along with frequent urination, fatigue and blurred vision for 4 days.",frequent urination|fatigue|high blood sugar|blurred vision,"I have high blood sugar along with frequent urination, fatigue and blurred vision for 4 days. Symptoms: frequent urination, fatigue, high blood sugar, blurred vision",Hyperglycemia / Diabetes Concern,MEDIUM,Metabolic
"I have been noticing body ache, fatigue, stiffness and headache over the past 2 days.",body ache|fatigue|stiffness|headache,"I have been noticing body ache, fatigue, stiffness and headache over the past 2 days. Symptoms: body ache, fatigue, stiffness, headache",Musculoskeletal Back Strain,LOW,Musculoskeletal
My main problems are dehydration and diarrhea and it started 1 week ago.,dehydration|diarrhea,"My main problems are dehydration and diarrhea and it started 1 week ago. Symptoms: dehydration, diarrhea",Gastroenteritis,MEDIUM,GI
"I have been noticing headache, congestion and sore throat over the past 5 days.",headache|congestion|sore throat,"I have been noticing headache, congestion and sore throat over the past 5 days. Symptoms: headache, congestion, sore throat",Sinusitis,LOW,Respiratory
